blank, fname
True,20200604_1M_KCl_50mM_Citricacid_50mM_BTP_pH_38_FraC_G13F_70mV_FL_0000
False,20200604_1M_KCl_50mM_Citricacid_50mM_BTP_pH_38_FraC_G13F_70mV_10uM_MetEnk_FL_0000
