blank, fname
True,20200605_1M_KCl_50mM_citricacid_BTP_pH_38_FraC_G13F_70mV_FL_0000
False,20200605_1M_KCl_50mM_citricacid_BTP_pH_38_FraC_G13F_70mV_10uM_MetEnk_AlaEnk_FL_0000
