blank, fname
True,2020_06_04_FraC_G13F_1M_KCl_50mM_CitricAcid_BTP_blank_70mV_RV_0000
False,2020_06_04_FraC_G13F_1M_KCl_50mM_CitricAcid_BTP_4ul_10mM_MetEnk_70mV_RV_0000
