blank, fname
True,20210423_1M_KCl_50mM_Citricacid_50mM_BTP_pH_38_FraC_G13F_70mV_FL_0000
False,20210423_1M_KCl_50mM_Citricacid_50mM_BTP_pH_38_FraC_G13F_70mV_10uM_YAGFL_FL_0000
